"name","mana_cost","combined_mana_cost","card_text","power","toughness","standard","commander","type","First_keyword","Second_keyword","Third_keyword","Fourth_keyword","Fifth_keyword","layout","arena_id","prints_search_uri","rarity","number_keywords","Flying","Deathtouch","Haste","Vigilance","Broad_type","sanitised_name"
"Blossoming Tortoise","{2}{G}{G}",4,"Whenever this creature enters or attacks, mill three cards, then return a land card from your graveyard to the battlefield tapped.
Activated abilities of lands you control cost {1} less to activate.
Land creatures you control get +1/+1.","3",3,"legal","legal","Creature — Turtle","Mill",NA,NA,NA,NA,"normal",86868,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5e1bf23b-7fb0-45ff-8544-fce9fa3eba00&unique=prints","mythic",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Blossoming Tortoise"
"Blasphemous Act","{8}{R}",9,"This spell costs {1} less to cast for each creature on the battlefield.
Blasphemous Act deals 13 damage to each creature.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7a2484a9-04fd-41a0-8224-610c1c07ed10&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Blasphemous Act"
"Dragonsguard Elite","{1}{G}",2,"Magecraft — Whenever you cast or copy an instant or sorcery spell, put a +1/+1 counter on this creature.
{4}{G}{G}: Double the number of +1/+1 counters on this creature.","2",2,"not_legal","legal","Creature — Human Druid","Magecraft",NA,NA,NA,NA,"normal",76520,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9bc966b3-1b6e-4bea-ab1d-321bc03d2bc7&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Dragonsguard Elite"
"Mosswood Dreadknight // Dread Whispers","{1}{G} // {1}{B}",2,NA,"3",2,"legal","legal","Creature — Human Knight // Sorcery — Adventure","Trample",NA,NA,NA,NA,"adventure",86952,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5783facf-d26e-4aae-a753-b9dc553361c1&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Mosswood Dreadknight // Dread Whispers"
"Innocent Traveler // Malicious Invader",NA,4,NA,NA,NA,"not_legal","legal","Creature — Human // Creature — Vampire","Flying","Transform",NA,NA,NA,"transform",78918,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7950a7ff-7c2e-40fe-b64a-324f4fbcf528&unique=prints","uncommon",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Innocent Traveler // Malicious Invader"
"Phyrexian Gargantua","{4}{B}{B}",6,"When this creature enters, you draw two cards and you lose 2 life.","4",4,"legal","legal","Creature — Phyrexian Horror",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aa3925dfd-62b0-44ef-8545-7bee92cad5a2&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Phyrexian Gargantua"
"World Breaker","{6}{G}",7,"Devoid (This card has no color.)
When you cast this spell, exile target artifact, enchantment, or land.
Reach
{2}{C}, Sacrifice a land: Return this card from your graveyard to your hand. ({C} represents colorless mana.)","5",7,"not_legal","legal","Creature — Eldrazi","Reach","Devoid",NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adeeb7e22-b207-42de-b9d4-f790403d52a9&unique=prints","mythic",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","World Breaker"
"Murder","{1}{B}{B}",3,"Destroy target creature.",NA,NA,"legal","legal","Instant",NA,NA,NA,NA,NA,"normal",92188,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A938b4e2c-88d9-4637-bc00-e228920c9a78&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Murder"
"Plains",NA,0,"({T}: Add {W}.)",NA,NA,"legal","legal","Basic Land — Plains",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abc71ebf6-2056-41f7-be35-b2e5c34afa99&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Plains"
"Undead Sprinter","{B}{R}",2,"Trample, haste
You may cast this card from your graveyard if a non-Zombie creature died this turn. If you do, this creature enters with a +1/+1 counter on it.","2",2,"legal","legal","Creature — Zombie","Haste","Trample",NA,NA,NA,"normal",92337,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3416ac84-c5ef-44be-894f-ab3b89e592ce&unique=prints","rare",2,"Not flying","Not deathtouch","Haste","Not vigilance","Creature","Undead Sprinter"
"Grave Betrayal","{5}{B}{B}",7,"Whenever a creature you don't control dies, return it to the battlefield under your control with an additional +1/+1 counter on it at the beginning of the next end step. That creature is a black Zombie in addition to its other colors and types.",NA,NA,"not_legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A892c8fd1-9553-4ced-84ec-9fc35c314c76&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Grave Betrayal"
"Person of Interest","{3}{R}",4,"When this creature enters, suspect it. Create a 2/2 white and blue Detective creature token. (A suspected creature has menace and can't block.)","2",2,"legal","legal","Creature — Human Rogue","Suspect",NA,NA,NA,NA,"normal",89054,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3d18cd9b-6013-48d7-9269-4787e7585a51&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Person of Interest"
"Defenestrated Phantom","{4}{W}{W}",6,"Flying
Disguise {4}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)","4",3,"legal","legal","Creature — Spirit","Flying","Disguise",NA,NA,NA,"normal",88931,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae73addfa-d18a-46f7-882e-7bc2f292230b&unique=prints","common",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Defenestrated Phantom"
"Out Cold","{3}{U}",4,"This spell can't be countered. (This includes by the ward ability.)
Tap up to two target creatures and put a stun counter on each of them. Investigate. (If a permanent with a stun counter would become untapped, remove one from it instead.)",NA,NA,"legal","legal","Instant","Investigate",NA,NA,NA,NA,"normal",88985,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A2d16d51b-47e0-4cdc-83dd-a805ba50bd83&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Out Cold"
"Tunnel Tipster","{1}{G}",2,"At the beginning of your end step, if a face-down creature entered the battlefield under your control this turn, put a +1/+1 counter on this creature.
{T}: Add {G}.","1",1,"legal","legal","Creature — Mole Scout",NA,NA,NA,NA,NA,"normal",89094,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A8d0bf685-e521-4d72-acc6-86794f685ce2&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Tunnel Tipster"
"Makeshift Binding","{2}{W}",3,"When this enchantment enters, exile target creature an opponent controls until this enchantment leaves the battlefield. You gain 2 life.",NA,NA,"legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal",88943,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A942f3f06-1df0-40b4-8537-71cbec111852&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Makeshift Binding"
"Slime Against Humanity","{2}{G}",3,"Create a 0/0 green Ooze creature token with trample. Put X +1/+1 counters on it, where X is two plus the total number of cards you own in exile and in your graveyard that are Oozes or are named Slime Against Humanity.
A deck can have any number of cards named Slime Against Humanity.",NA,NA,"legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal",89091,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab53597f4-1a0f-4fa8-9c17-29178cdc4d2b&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Slime Against Humanity"
"Faerie Snoop","{1}{U}{B}",3,"Flying
Disguise {1}{U/B}{U/B} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, look at the top two cards of your library. Put one into your hand and the other into your graveyard.","1",4,"legal","legal","Creature — Faerie Detective","Flying","Disguise",NA,NA,NA,"normal",89116,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab759e8a6-8dd0-48ce-8816-e45b35a79895&unique=prints","common",2,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Faerie Snoop"
"A Killer Among Us","{4}{G}",5,"When this enchantment enters, create a 1/1 white Human creature token, a 1/1 blue Merfolk creature token, and a 1/1 red Goblin creature token. Then secretly choose Human, Merfolk, or Goblin.
Sacrifice this enchantment, Reveal the creature type you chose: If target attacking creature token is the chosen type, put three +1/+1 counters on it and it gains deathtouch until end of turn.",NA,NA,"legal","legal","Enchantment",NA,NA,NA,NA,NA,"normal",89081,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A79d577a8-53c0-4220-bc0e-70764d72d5fd&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","A Killer Among Us"
"Call a Surprise Witness","{1}{W}",2,"Return target creature card with mana value 3 or less from your graveyard to the battlefield. Put a flying counter on it. It's a Spirit in addition to its other types.",NA,NA,"legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal",88927,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9038a457-ce01-4f6d-9e2b-5220f08b4290&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Call a Surprise Witness"
"Forensic Researcher","{2}{U}",3,"{T}: Untap another target permanent you control.
{T}, Collect evidence 3: Tap target creature you don't control. (To collect evidence 3, exile cards with total mana value 3 or greater from your graveyard.)","1",3,"legal","legal","Creature — Merfolk Detective","Collect evidence",NA,NA,NA,NA,"normal",88977,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A75e7f7c7-fa98-497b-bf5e-8f74571e190c&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Forensic Researcher"
"Shadowy Backstreet",NA,0,"({T}: Add {W} or {B}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",NA,NA,"legal","legal","Land — Plains Swamp","Surveil",NA,NA,NA,NA,"normal",89190,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A216a2a92-9ca3-4ca3-8af7-686c13b04290&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Shadowy Backstreet"
"Sharp-Eyed Rookie","{1}{G}",2,"Vigilance
Whenever a creature you control enters, if its power is greater than this creature's power or its toughness is greater than this creature's toughness, put a +1/+1 counter on this creature and investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")","2",2,"legal","legal","Creature — Human Detective","Investigate","Vigilance",NA,NA,NA,"normal",89090,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0642fb0d-73cb-4989-852c-3233fe36c3b4&unique=prints","rare",2,"Not flying","Not deathtouch","Not haste","Vigilance","Creature","Sharp-Eyed Rookie"
"Repeat Offender","{1}{B}",2,"{2}{B}: If this creature is suspected, put a +1/+1 counter on it. Otherwise, suspect it. (A suspected creature has menace and can't block.)","2",1,"legal","legal","Creature — Human Assassin","Suspect",NA,NA,NA,NA,"normal",89016,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4d1885d1-212e-47ae-865f-e6dc4148ddf2&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Repeat Offender"
"Island",NA,0,"({T}: Add {U}.)",NA,NA,"legal","legal","Basic Land — Island",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab2c6aa39-2d2a-459c-a555-fb48ba993373&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Island"
"The Seventh Doctor","{3}{W}{U}",5,"Whenever The Seventh Doctor attacks, choose a card in your hand. Defending player guesses whether that card's mana value is greater than the number of artifacts you control. If they guessed wrong, you may cast it without paying its mana cost. If you don't cast a spell this way, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")","3",6,"not_legal","legal","Legendary Creature — Time Lord Doctor","Investigate",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A43e1b053-2cb9-4b1d-9e38-100cfa7267b6&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","The Seventh Doctor"
"Golgari Guildgate",NA,0,"This land enters tapped.
{T}: Add {B} or {G}.",NA,NA,"legal","legal","Land — Gate",NA,NA,NA,NA,NA,"normal",94117,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Afa2da325-6859-45bb-b185-35526b01bcc1&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Golgari Guildgate"
"Cancel","{1}{U}{U}",3,"Counter target spell.",NA,NA,"legal","legal","Instant",NA,NA,NA,NA,NA,"normal",93654,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A7d00fb28-ea6c-49a9-b4af-ffb38860a9a7&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Cancel"
"Essence Backlash","{2}{U}{R}",4,"Counter target creature spell. Essence Backlash deals damage equal to that spell's power to its controller.",NA,NA,"not_legal","legal","Instant",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Af51ed0b4-c144-458e-b97c-618b9e1cf25d&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Essence Backlash"
"Centaur Healer","{1}{G}{W}",3,"When this creature enters, you gain 3 life.","3",3,"not_legal","legal","Creature — Centaur Cleric",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aff435f84-73ab-4a16-8af6-6576af4e4edb&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Centaur Healer"
"Sewer Shambler","{2}{B}",3,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
Scavenge {2}{B} ({2}{B}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)","2",1,"not_legal","legal","Creature — Zombie","Scavenge","Landwalk","Swampwalk",NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5d111adc-a91a-437d-8aac-3b246e980bd8&unique=prints","common",3,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Sewer Shambler"
"Gore-House Chainwalker","{1}{R}",2,"Unleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)","2",1,"not_legal","legal","Creature — Human Warrior","Unleash",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Adbe3e317-3c39-4b38-ae06-eae02a910c37&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Gore-House Chainwalker"
"Gatecreeper Vine","{1}{G}",2,"Defender
When this creature enters, you may search your library for a basic land card or a Gate card, reveal it, put it into your hand, then shuffle.","0",2,"not_legal","legal","Creature — Plant","Defender",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0f539127-535f-4e0d-abaa-e884521098d2&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Gatecreeper Vine"
"Racecourse Fury","{R}",1,"Enchant land
Enchanted land has ""{T}: Target creature gains haste until end of turn.""",NA,NA,"not_legal","legal","Enchantment — Aura","Enchant",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ab7093835-0f84-4ea4-b228-2e39bd2642ab&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Enchantment","Racecourse Fury"
"Azorius Arrester","{1}{W}",2,"When this creature enters, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)","2",1,"not_legal","legal","Creature — Human Soldier","Detain",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A3f2a27a1-f9cf-4dac-a248-5c6af4de3722&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Azorius Arrester"
"Izzet Guildgate",NA,0,"This land enters tapped.
{T}: Add {U} or {R}.",NA,NA,"legal","legal","Land — Gate",NA,NA,NA,NA,NA,"normal",94119,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abf75a3d1-f184-4b48-a913-21caee1db084&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Land","Izzet Guildgate"
"Hellhole Flailer","{1}{B}{R}",3,"Unleash (You may have this creature enter with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
{2}{B}{R}, Sacrifice this creature: It deals damage equal to its power to target player or planeswalker.","3",2,"not_legal","legal","Creature — Ogre Warrior","Unleash",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Ae13c1703-1184-4a8c-9310-f11e4e673597&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Hellhole Flailer"
"Brushstrider","{1}{G}",2,"Vigilance (Attacking doesn't cause this creature to tap.)","3",1,"not_legal","legal","Creature — Beast","Vigilance",NA,NA,NA,NA,"normal",72443,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A6dfcc4bb-7cd5-4b3e-ad79-3c246a3af2a8&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Vigilance","Creature","Brushstrider"
"Sphinx of the Chimes","{4}{U}{U}",6,"Flying
Discard two nonland cards with the same name: Draw four cards.","5",6,"not_legal","legal","Creature — Sphinx","Flying",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A690df8d2-9538-4c51-b730-cee09ad0ef1c&unique=prints","rare",1,"Flying","Not deathtouch","Not haste","Not vigilance","Creature","Sphinx of the Chimes"
"Trostani's Judgment","{5}{W}",6,"Exile target creature, then populate. (Create a token that's a copy of a creature token you control.)",NA,NA,"not_legal","legal","Instant","Populate",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A97cf544e-ffbf-4730-8cd2-4f1d5be933f2&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Trostanis Judgment"
"Giant Growth","{G}",1,"Target creature gets +3/+3 until end of turn.",NA,NA,"legal","legal","Instant",NA,NA,NA,NA,NA,"normal",93936,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A5748ebf1-24e3-499d-ab7c-c2cebd462a24&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Instant","Giant Growth"
"Crosstown Courier","{1}{U}",2,"Whenever this creature deals combat damage to a player, that player mills that many cards.","2",1,"not_legal","legal","Creature — Vedalken","Mill",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A82184f0a-54a1-4ae0-9b99-2b3450c6e544&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Crosstown Courier"
"Coursers' Accord","{4}{G}{W}",6,"Create a 3/3 green Centaur creature token, then populate. (Create a token that's a copy of a creature token you control.)",NA,NA,"not_legal","legal","Sorcery","Populate",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A23674648-d1a0-437d-8a0b-4173c75b4507&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Coursers Accord"
"Trestle Troll","{1}{B}{G}",3,"Defender
Reach (This creature can block creatures with flying.)
{1}{B}{G}: Regenerate this creature.","1",4,"not_legal","legal","Creature — Troll","Reach","Defender",NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A8661d773-3b92-4fcf-8ffc-aced1ff7be8a&unique=prints","common",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Trestle Troll"
"Rubbleback Rhino","{4}{G}",5,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)","3",4,"not_legal","legal","Creature — Rhino","Hexproof",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A33e87ab4-f680-4463-a48d-289fed7e196e&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Rubbleback Rhino"
"Seller of Songbirds","{2}{W}",3,"When this creature enters, create a 1/1 white Bird creature token with flying.","1",2,"not_legal","legal","Creature — Human",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A87e4c6ff-f83f-412b-9d23-aac7a57ef6db&unique=prints","common",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Seller of Songbirds"
"Codex Shredder","{1}",1,"{T}: Target player mills a card. (They put the top card of their library into their graveyard.)
{5}, {T}, Sacrifice this artifact: Return target card from your graveyard to your hand.",NA,NA,"not_legal","legal","Artifact","Mill",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aef7b11ab-24e7-4e7c-91a7-920bade6e60b&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Artifact","Codex Shredder"
"Assassin's Strike","{4}{B}{B}",6,"Destroy target creature. Its controller discards a card.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal",72262,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A1ad6339d-6206-49bf-bf97-05e6d3bcaab7&unique=prints","uncommon",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Assassins Strike"
"Azorius Justiciar","{2}{W}{W}",4,"When this creature enters, detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)","2",2,"not_legal","legal","Creature — Human Wizard","Detain",NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Acba0eae3-73ea-4ea9-87bf-1015e490da90&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Azorius Justiciar"
